horas_estudio_semanal,nota_anterior,tasa_asistencia,horas_sueno,edad,nivel_dificultad,tiene_tutor,horario_estudio_preferido,estilo_aprendizaje,nota_final,aprobado,tiene_tutor_ml
8.96,48.83,86.64,6.68,25,facil,si,tarde,lectura_escritura,84.4,1,1
11.04,80.83,83.45,4.62,18,dificil,no,tarde,visual,72.0,1,0
4.51,90.38,74.62,7.76,25,facil,no,manana,lectura_escritura,80.0,1,0
6.65,81.88,82.85,8.59,23,facil,no,noche,visual,78.2,1,0
1.0,66.25,54.54,6.67,21,medio,no,noche,auditivo,66.0,1,0
6.41,73.09,79.79,8.51,29,dificil,no,manana,visual,68.0,1,0
13.42,91.07,71.8,4.59,25,facil,si,manana,visual,75.5,1,1
16.24,96.98,51.41,7.01,20,facil,si,noche,visual,86.3,1,1
4.32,62.1,60.82,6.46,21,medio,no,manana,visual,84.8,1,0
7.93,71.83,100.0,7.52,23,medio,si,noche,visual,68.8,1,1
12.59,61.58,64.7,7.01,28,medio,si,noche,visual,67.9,1,1
8.61,56.45,64.01,7.88,24,dificil,si,noche,visual,54.9,0,1
13.11,87.69,57.89,7.01,21,dificil,no,tarde,lectura_escritura,82.4,1,0
2.23,49.9,76.94,7.01,21,medio,no,tarde,visual,59.4,0,0
7.85,47.18,69.23,4.75,24,medio,no,tarde,kinestesico,63.4,1,0
3.92,55.34,58.82,6.58,23,medio,no,tarde,visual,73.2,1,0
6.04,77.85,97.71,6.14,28,facil,no,tarde,lectura_escritura,86.9,1,0
12.15,83.27,80.77,5.78,25,dificil,si,manana,lectura_escritura,77.8,1,1
10.46,72.1,57.38,5.84,18,medio,no,noche,kinestesico,73.0,1,0
14.69,86.26,93.68,6.99,27,facil,no,tarde,kinestesico,84.5,1,0
13.93,93.57,81.56,8.21,28,medio,si,tarde,visual,90.7,1,1
9.79,65.24,68.12,4.16,24,facil,no,noche,lectura_escritura,63.9,1,0
20.85,68.02,100.0,7.56,29,medio,si,tarde,lectura_escritura,83.9,1,1
14.12,55.52,58.18,7.19,24,medio,si,noche,lectura_escritura,66.0,1,1
2.27,75.77,86.05,7.5,28,medio,no,tarde,kinestesico,56.4,0,0
1.01,40.35,45.49,7.74,24,dificil,no,noche,visual,54.0,0,0
17.02,80.87,75.03,7.72,24,facil,si,manana,lectura_escritura,91.6,1,1
3.01,40.08,57.01,7.56,27,medio,no,noche,visual,66.9,1,0
13.71,66.8,44.41,5.59,27,medio,si,noche,auditivo,75.2,1,1
9.68,53.87,52.2,8.85,25,medio,si,manana,visual,67.4,1,1
11.55,65.71,60.76,6.5,26,medio,si,manana,lectura_escritura,73.7,1,1
12.55,94.24,80.2,4.49,26,medio,si,tarde,visual,70.5,1,1
12.6,93.07,100.0,5.92,19,medio,si,noche,visual,74.7,1,1
3.74,68.89,97.52,5.25,24,facil,no,tarde,auditivo,72.0,1,0
13.86,76.5,87.3,8.5,24,dificil,si,tarde,kinestesico,77.7,1,1
8.66,69.6,90.91,6.18,21,medio,no,manana,auditivo,64.9,1,0
9.19,55.46,55.29,7.01,26,medio,no,noche,visual,66.4,1,0
3.39,68.13,59.16,7.01,25,facil,no,tarde,visual,66.5,1,0
10.26,88.63,75.18,5.94,29,facil,si,noche,kinestesico,97.5,1,1
5.45,62.28,74.07,8.05,18,medio,no,tarde,lectura_escritura,76.2,1,0
6.39,54.14,90.09,5.76,19,dificil,no,noche,kinestesico,73.0,1,0
20.72,83.83,98.59,6.34,19,medio,si,tarde,auditivo,71.5,1,1
7.6,58.93,82.69,4.98,29,dificil,si,noche,lectura_escritura,64.8,1,1
6.19,65.16,62.58,7.83,29,medio,no,tarde,visual,64.9,1,0
1.0,56.22,58.04,8.73,28,medio,no,tarde,auditivo,59.3,0,0
7.83,65.27,43.57,7.01,25,facil,no,noche,auditivo,50.7,0,0
15.31,88.96,82.04,7.01,18,dificil,si,noche,auditivo,61.1,1,1
6.01,68.81,74.27,9.56,21,facil,no,manana,kinestesico,61.3,1,0
11.44,68.93,94.15,7.24,27,dificil,no,manana,auditivo,78.1,1,0
15.47,56.11,76.88,7.9,29,dificil,si,manana,visual,70.8,1,1
10.83,74.41,100.0,5.58,22,dificil,si,noche,visual,90.3,1,1
16.05,74.02,67.31,5.65,26,medio,si,noche,visual,64.4,1,1
17.06,88.0,26.83,8.41,24,medio,no,noche,auditivo,71.7,1,0
18.13,89.92,58.75,5.63,25,medio,si,noche,visual,91.1,1,1
1.0,50.53,80.51,8.16,28,facil,no,tarde,visual,64.8,1,0
8.82,63.33,59.37,7.01,26,medio,no,tarde,kinestesico,75.0,1,0
8.92,86.13,94.23,5.59,24,facil,no,tarde,kinestesico,82.7,1,0
15.33,88.39,100.0,7.66,22,medio,si,tarde,kinestesico,79.8,1,1
13.54,63.95,72.41,7.87,22,facil,si,manana,auditivo,72.7,1,1
14.99,72.67,89.18,5.9,27,facil,si,manana,lectura_escritura,75.1,1,1
12.5,73.4,100.0,7.82,28,medio,si,noche,lectura_escritura,63.5,1,1
12.28,64.27,61.96,5.39,23,medio,si,noche,kinestesico,70.1,1,1
13.82,69.27,91.96,5.33,22,medio,no,tarde,auditivo,77.8,1,0
11.4,67.1,68.06,6.09,29,facil,si,tarde,visual,76.9,1,1
13.26,46.69,66.05,6.32,28,medio,no,tarde,lectura_escritura,77.1,1,0
16.1,81.17,100.0,5.6,26,facil,si,noche,visual,77.4,1,1
9.64,77.9,76.68,8.26,20,medio,no,noche,visual,65.0,1,0
10.28,65.67,74.32,8.34,20,medio,no,noche,auditivo,81.9,1,0
11.29,83.78,84.39,6.78,24,medio,no,noche,visual,73.5,1,0
8.84,71.53,51.31,9.38,24,medio,no,manana,lectura_escritura,71.4,1,0
8.19,70.66,80.05,4.55,23,medio,no,tarde,auditivo,71.0,1,0
13.37,76.63,81.09,7.39,20,medio,si,tarde,auditivo,89.7,1,1
11.43,63.46,65.16,4.67,24,medio,no,tarde,kinestesico,74.7,1,0
10.53,72.59,77.74,6.71,22,medio,no,noche,auditivo,66.0,1,0
13.23,66.33,100.0,5.83,24,medio,no,tarde,visual,60.2,1,0
15.24,57.06,91.89,5.99,19,facil,si,manana,auditivo,83.8,1,1
14.15,81.32,49.49,8.83,23,medio,no,tarde,kinestesico,76.8,1,0
6.91,60.08,100.0,5.95,25,medio,no,noche,auditivo,67.8,1,0
21.45,64.4,70.68,6.89,18,medio,si,manana,kinestesico,84.1,1,1
10.18,78.11,100.0,9.2,21,facil,si,noche,visual,74.3,1,1
14.63,85.93,93.37,8.44,28,facil,no,tarde,visual,82.9,1,0
8.27,61.45,69.17,8.35,18,dificil,no,manana,visual,70.4,1,0
11.98,47.3,52.58,8.82,18,medio,si,tarde,visual,64.6,1,1
15.7,69.49,85.64,5.1,27,facil,no,noche,kinestesico,88.5,1,0
6.73,38.2,49.61,4.0,29,medio,no,tarde,kinestesico,52.8,0,0
1.36,37.84,76.08,7.01,28,medio,no,noche,visual,69.3,1,0
17.49,76.92,93.6,10.0,25,dificil,si,tarde,auditivo,85.4,1,1
10.51,86.2,40.0,5.22,24,facil,no,manana,kinestesico,62.0,1,0
9.57,62.83,34.73,7.46,29,facil,no,noche,visual,68.8,1,0
6.52,65.31,49.15,6.45,27,dificil,no,noche,visual,74.9,1,0
12.68,65.55,58.11,5.98,18,facil,no,tarde,lectura_escritura,81.9,1,0
11.79,81.62,63.06,7.71,28,facil,si,noche,auditivo,77.9,1,1
3.82,44.42,42.86,7.01,19,dificil,no,tarde,visual,52.3,0,0
8.05,78.29,84.67,7.01,21,medio,no,noche,visual,80.4,1,0
17.45,59.56,67.04,10.0,18,facil,si,manana,kinestesico,80.0,1,1
18.22,45.9,96.06,6.1,20,facil,si,tarde,visual,65.6,1,1
11.71,66.18,53.67,8.92,25,facil,no,manana,visual,65.2,1,0
21.28,70.28,82.47,8.78,25,facil,si,noche,auditivo,82.3,1,1
12.4,83.32,69.43,7.01,25,dificil,no,manana,visual,72.8,1,0
3.3,68.7,63.18,7.01,23,medio,no,noche,visual,66.7,1,0
10.32,53.74,38.24,4.43,23,medio,no,noche,visual,71.7,1,0
11.64,72.29,66.39,8.29,22,dificil,no,tarde,visual,68.8,1,0
6.74,74.88,63.3,7.01,26,medio,si,tarde,kinestesico,55.6,0,1
10.84,62.06,51.81,6.25,21,facil,si,tarde,auditivo,64.2,1,1
17.73,82.61,81.88,6.98,27,medio,si,tarde,visual,84.6,1,1
14.31,84.66,100.0,9.89,29,dificil,si,tarde,visual,80.9,1,1
2.98,71.45,65.04,9.19,29,dificil,no,noche,visual,57.7,0,0
10.61,57.22,73.72,7.01,29,facil,no,noche,visual,59.7,0,0
2.84,39.2,80.62,8.14,24,medio,no,noche,visual,65.6,1,0
13.38,75.32,79.02,6.45,18,medio,si,noche,visual,84.5,1,1
8.49,68.21,94.71,6.71,26,dificil,no,noche,visual,77.8,1,0
11.92,69.57,74.67,7.91,24,facil,si,tarde,visual,84.2,1,1
10.64,75.6,79.53,4.0,27,medio,no,noche,lectura_escritura,62.9,1,0
7.98,89.04,59.91,10.0,29,dificil,no,noche,kinestesico,63.2,1,0
11.85,75.97,74.77,4.52,26,medio,no,tarde,visual,74.1,1,0
16.7,100.0,100.0,7.15,24,medio,si,noche,kinestesico,86.9,1,1
11.58,43.92,92.4,7.18,19,facil,no,tarde,visual,72.8,1,0
10.16,55.93,61.59,7.77,23,facil,si,noche,kinestesico,58.2,0,1
11.11,68.09,85.7,7.4,27,medio,si,noche,auditivo,64.2,1,1
13.4,79.82,63.54,7.81,29,dificil,si,noche,kinestesico,72.9,1,1
7.94,48.2,89.83,7.69,28,facil,no,manana,lectura_escritura,70.2,1,0
4.03,66.99,29.87,7.75,21,medio,no,noche,visual,61.3,1,0
9.29,78.64,69.8,6.61,20,medio,si,tarde,auditivo,65.4,1,1
9.36,64.84,87.18,6.48,19,facil,no,tarde,auditivo,73.2,1,0
14.89,71.11,100.0,6.03,23,medio,si,noche,visual,74.6,1,1
13.46,76.34,82.2,8.65,25,medio,si,noche,visual,78.2,1,1
15.09,94.1,82.9,5.57,23,dificil,si,noche,visual,85.6,1,1
12.38,99.92,84.56,6.38,26,medio,no,tarde,auditivo,83.8,1,0
10.02,90.1,62.46,4.9,22,medio,no,tarde,auditivo,72.2,1,0
9.83,73.51,84.17,10.0,19,facil,no,noche,auditivo,72.2,1,0
7.05,66.06,46.36,4.85,25,dificil,no,tarde,visual,58.0,0,0
9.78,67.37,73.92,7.01,26,facil,si,noche,auditivo,74.3,1,1
9.43,79.73,78.61,7.95,27,medio,no,noche,lectura_escritura,78.2,1,0
4.1,97.99,88.47,6.79,21,facil,no,tarde,visual,78.5,1,0
1.0,53.6,57.82,9.59,23,dificil,no,noche,auditivo,64.8,1,0
12.97,72.06,100.0,8.31,28,medio,si,tarde,kinestesico,69.1,1,1
5.83,52.46,61.71,8.52,27,medio,no,tarde,kinestesico,73.9,1,0
9.62,54.53,64.76,7.1,25,facil,si,tarde,auditivo,57.9,0,1
16.13,70.13,60.5,5.79,26,medio,si,tarde,lectura_escritura,66.6,1,1
14.67,63.91,60.3,7.01,29,medio,si,tarde,visual,77.1,1,1
8.75,87.32,57.75,7.01,22,medio,no,tarde,lectura_escritura,80.1,1,0
2.87,85.86,92.84,8.04,29,facil,no,tarde,visual,56.0,0,0
10.77,63.29,65.27,7.14,23,dificil,no,manana,visual,65.7,1,0
4.84,61.36,63.0,7.01,28,dificil,si,tarde,visual,59.4,0,1
11.6,56.34,57.53,9.66,21,facil,si,manana,kinestesico,66.5,1,1
7.76,76.38,78.76,6.86,22,dificil,no,manana,auditivo,78.7,1,0
6.68,85.28,75.58,8.19,24,medio,no,noche,visual,72.7,1,0
11.42,50.96,92.92,6.12,26,medio,no,noche,visual,67.4,1,0
18.27,89.83,89.37,7.01,27,medio,si,noche,lectura_escritura,78.6,1,1
10.72,81.47,65.38,7.18,28,medio,si,tarde,kinestesico,68.9,1,1
14.26,66.49,76.13,9.51,23,medio,no,noche,auditivo,88.1,1,0
1.0,49.8,46.08,5.37,23,medio,no,noche,auditivo,57.8,0,0
9.53,81.83,100.0,6.21,25,medio,no,noche,auditivo,66.9,1,0
11.81,88.47,100.0,7.01,28,medio,no,tarde,visual,77.6,1,0
8.52,52.9,83.34,7.27,21,medio,no,noche,lectura_escritura,65.6,1,0
16.86,88.71,90.29,8.74,20,facil,si,noche,visual,79.5,1,1
9.55,61.97,86.11,7.01,24,dificil,no,noche,visual,71.0,1,0
2.47,56.17,65.44,5.43,22,medio,no,manana,visual,61.5,1,0
3.76,76.21,66.71,6.44,19,facil,no,tarde,visual,67.8,1,0
4.8,58.38,74.17,6.42,19,facil,no,tarde,auditivo,66.0,1,0
4.25,62.79,64.53,7.3,28,medio,no,tarde,auditivo,62.0,1,0
12.81,59.99,73.77,6.83,23,dificil,no,noche,visual,78.1,1,0
9.99,72.78,100.0,7.17,25,medio,no,manana,auditivo,84.1,1,0
